,Text_id,link,གནས་བབ།,སྒྲིག་མཁན།,མཆན།,མཆན་གྲངས།,,
49,D3866,https://openpecha.bdrc.io/pedurma/D3866,ཚར།,གཟུངས་འདུས།,,318,ཚར།,
50,D3889,https://openpecha.bdrc.io/pedurma/D3889,ཚར།,གཟུངས་འདུས།,,182,ཚར།,
51,D3908,https://openpecha.bdrc.io/pedurma/D3908,ཚར།,གཟུངས་འདུས།,,26,ཚར།,
52,D3915,https://openpecha.bdrc.io/pedurma/D3915,ཚར།,གཟུངས་འདུས།,,295,ཚར།,
53,D3918,https://openpecha.bdrc.io/pedurma/D3918,ཚར།,གཟུངས་འདུས།,,57,ཚར།,
54,D3955,https://openpecha.bdrc.io/pedurma/D3955,ཚར།,གཟུངས་འདུས།,,14,ཚར།,
55,D3956,https://openpecha.bdrc.io/pedurma/D3956,ཚར།,གཟུངས་འདུས།,,15,ཚར།,
56,D3957,https://openpecha.bdrc.io/pedurma/D3957,ཚར།,གཟུངས་འདུས།,,45,ཚར།,
57,D3973,https://openpecha.bdrc.io/pedurma/D3973,ཚར།,གཟུངས་འདུས།,,5,ཚར།,
58,D3976,https://openpecha.bdrc.io/pedurma/D3976,ཚར།,གཟུངས་འདུས།,,20,ཚར།,
59,D3982,https://openpecha.bdrc.io/pedurma/D3982,ཚར།,གཟུངས་འདུས།,,52,ཚར།,
60,D3990,https://openpecha.bdrc.io/pedurma/D3990,ཚར།,གཟུངས་འདུས།,,5,ཚར།,
61,D3991,https://openpecha.bdrc.io/pedurma/D3991,ཚར།,གཟུངས་འདུས།,,71,ཚར།,
62,D4012,https://openpecha.bdrc.io/pedurma/D4012,ཚར།,གཟུངས་འདུས།,,352,ཚར།,
63,D4017,https://openpecha.bdrc.io/pedurma/D4017,ཚར།,གཟུངས་འདུས།,,2997,ཚར།,
64,D4035,https://openpecha.bdrc.io/pedurma/D4035,ཚར་མེད།,ཟླ་བཀྲ།,1063,3295,,
65,D4037,https://openpecha.bdrc.io/pedurma/D4037,ཚར་མེད།,ཟླ་བཀྲ།,"566,584, ཤར་གྱི་མི་འདུག",3732,,བཟོས་ཚར་
66,D4038y,https://openpecha.bdrc.io/pedurma/D4038y,ཚར།,བློ་བཟང་།,,1634,ཚར།,
67,D4039,https://openpecha.bdrc.io/pedurma/D4039,ཚར།,བཀྲ་ཤིས་དོན་གྲུབ། ,,2772,ཚར།,
68,D4040,https://openpecha.bdrc.io/pedurma/D4040,ཚར།,བློ་བཟང་།,,315,ཚར།,
69,D4041,https://openpecha.bdrc.io/pedurma/D4041,ཚར།,བློ་བཟང་།,,433,ཚར།,
70,D4042,https://openpecha.bdrc.io/pedurma/D4042,ཚར།,བློ་བཟང་།,,340,,
71,D4090x,https://openpecha.bdrc.io/pedurma/D4090x,ཚར་མེད།,ཟླ་བཀྲ།,ཤར་གྱི་མི་འདུག,4295,,བཟོས་ཚར་
72,D4090y,https://openpecha.bdrc.io/pedurma/D4090y,ཚར་མེད།,ཟླ་བཀྲ།,ཤར་གྱི་མི་འདུག,1875,,བཟོས་ཚར་
73,D4119x,https://openpecha.bdrc.io/pedurma/D4119x,ཚར་མེད།,ཟླ་བཀྲ།,ཤར་གྱི་མི་འདུག,4903,,བཟོས་ཚར་
74,D4119y,https://openpecha.bdrc.io/pedurma/D4119y,ཚར་མེད།,ཟླ་བཀྲ།,ཤར་གྱི་མི་འདུག,6287,,བཟོས་ཚར་
75,D4128,https://openpecha.bdrc.io/pedurma/D4128,ཚར། ,ཟླ་བཀྲ།,,504,ཚར།,
76,D4148,https://openpecha.bdrc.io/pedurma/D4148,ཚར།,ཟླ་བཀྲ།,,5,ཚར།,
77,D4180,https://openpecha.bdrc.io/pedurma/D4180,ཚར།,ཟླ་བཀྲ།,,17,ཚར།,
78,D4193,https://openpecha.bdrc.io/pedurma/D4193,ཚར།,ཟླ་བཀྲ།,,12,ཚར།,
79,D4210,https://openpecha.bdrc.io/pedurma/D4210,ཚར།,ཟླ་བཀྲ།,,1032,,
80,D4267x,https://openpecha.bdrc.io/pedurma/D4267x,ཚར་མེད།,ཟླ་བཀྲ།,ཤར་གྱི་མི་འདུག,4599,,བཟོས་ཚར་
81,D4267y,https://openpecha.bdrc.io/pedurma/D4267y,ཚར་མེད།,ཟླ་བཀྲ།,ཤར་གྱི་མི་འདུག,6257,,བཟོས་ཚར་
82,D4319,https://openpecha.bdrc.io/pedurma/D4319,ཚར།,ཟླ་བཀྲ།,,30,ཚར།,
83,D4328,https://openpecha.bdrc.io/pedurma/D4328,ཚར།,ཟླ་བཀྲ།,,173,ཚར།,
84,D4383,https://openpecha.bdrc.io/pedurma/D4383,ཚར།,ཟླ་བཀྲ།,,71,ཚར།,
85,D4388,https://openpecha.bdrc.io/pedurma/D4388,ཚར།,ཟླ་བཀྲ།,,22,ཚར།,
86,D4393,https://openpecha.bdrc.io/pedurma/D4393,ཚར།,ཟླ་བཀྲ།,,17,ཚར།,
87,D4411,https://openpecha.bdrc.io/pedurma/D4411,ཚར་མེད།,ཟླ་བཀྲ།,ཤར་གྱི་མི་འདུག,45,,བཟོས་ཚར་
88,D1340,https://openpecha.bdrc.io/pedurma/D1340,ཚར་མེད།,ཟླ་བཀྲ།,,139,,
89,D1793x,https://openpecha.bdrc.io/pedurma/D1793x,ཚར་མེད།,ཟླ་བཀྲ།,,5071,,
90,D1824,https://openpecha.bdrc.io/pedurma/D1824,ཚར་མེད།,ཀརྨ།,,16,,
91,D2329,https://openpecha.bdrc.io/pedurma/D2329,ཚར་མེད།,ཀརྨ།,,21,,
92,D2591,https://openpecha.bdrc.io/pedurma/D2591,ཚར་མེད།,ཀརྨ།,,3,,
93,D3069,https://openpecha.bdrc.io/pedurma/D3069,ཚར་མེད།,ཀརྨ།,,184,,
94,D3779,https://openpecha.bdrc.io/pedurma/D3779,ཚར་མེད།,ཀརྨ།,,18,,
95,D3790y,https://openpecha.bdrc.io/pedurma/D3790y,ཚར་མེད།,ཀརྨ།,,2665,,
96,D3916,https://openpecha.bdrc.io/pedurma/D3916,ཚར་མེད།,ཀརྨ།,,358,,
97,D4038x,https://openpecha.bdrc.io/pedurma/D4038x,ཚར་མེད།,ཀརྨ།,,4186,,
98,D4358x,https://openpecha.bdrc.io/pedurma/D4358x,ཚར་མེད།,ཀརྨ།,,4332,,
99,D4358y,https://openpecha.bdrc.io/pedurma/D4358y,ཚར་མེད།,ཀརྨ།,,2716,,
100,D3883,https://openpecha.bdrc.io/pedurma/D3883,ཚར་མེད།,ཀརྨ།,,483,,
101,D4036,https://openpecha.bdrc.io/pedurma/D4036,ཚར་མེད།,ཀརྨ།,,3439,,
102,D3917,https://openpecha.bdrc.io/pedurma/D3917,ཚར་མེད།,ཀརྨ།,,309,,
